capture                           said  found    cov  travel  verdict
bench_117.5x1_20260808               1      1  1.000    26.0  ok
bench_92.5x6_1_20260808              6      6  1.000    27.3  ok
bench_92.5x6_2_20260808              6      6  0.982    27.0  ok
bench_spoto_95x5_1_20260806          5      5  1.000    25.9  ok
bench_spoto_95x5_2_20260806          5      5  1.000    25.3  ok
deadlift_150x4_1_20260808            4      4  0.974    54.0  ok
deadlift_160x4_2_20260808            4      4  0.997    51.6  ok
deadlift_160x6_1_20260804            6      6  0.998    54.4  ok
deadlift_160x6_2_20260804            6      6  0.997    54.9  ok
deadlift_170x4_3_20260808            4      4  0.997    51.6  ok
deadlift_185x3_20260804              3      3  0.986    54.6  ok
deadlift_200x1_20260808              1      1  1.000    49.4  ok
squat_170x1_20260806                 1      1  1.000    58.4  ok
squat_pause_140x4_2_20260806         4      4  1.000    63.4  ok
squat_pause_140x4_3_20260806         4      4  1.000    64.3  ok
squat_pause_145x4_1_20260806         4      4  1.000    60.5  ok

16 of 16 captures count correctly
