# video = bench_90x4_1_20260727.mov
# tracker = plate
# commit = db0eaf5
# generated = 2026-08-07T12:28Z
# n_frames = 974
# lift = bench
# camera_side = right
# fps = 29.97002997
# m_per_px = 0.004427083333
# travel_m = 0.2892142629
# plate_radius_px = 48
# seed_frame = 530
t,x,height,score
0,0.000999381,0.21747,0.675002
0.0333667,0.00104705,0.21772,0.683017
0.0667333,0.00089431,0.217849,0.689165
0.1001,0.000682428,0.218088,0.738727
0.133467,0.000398073,0.218422,0.829117
0.166833,0.000367689,0.218638,0.883435
0.2002,0.000337447,0.218842,0.907405
0.233567,0.00030902,0.218949,0.919997
0.266933,0.000256849,0.219024,0.924824
0.3003,0.000145154,0.219212,0.92989
0.333667,0.000131475,0.219266,0.931475
0.367033,0.000169876,0.219341,0.93344
0.4004,0.000176269,0.219403,0.933372
0.433767,0.000148477,0.21945,0.931916
0.467133,0.000121071,0.219474,0.931941
0.5005,0.000119205,0.219475,0.932009
0.533867,0.000118709,0.219482,0.931887
0.567233,9.9154e-05,0.219525,0.931071
0.6006,9.9576e-05,0.219527,0.931034
0.633967,0.000104365,0.219531,0.93109
0.667333,0.000109221,0.219539,0.931164
0.7007,0.000115917,0.219548,0.930458
0.734067,0.00010694,0.219534,0.930526
0.767433,0.00011009,0.21953,0.930494
0.8008,0.00010793,0.219552,0.930502
0.834167,0.000112295,0.219506,0.930621
0.867533,0.000104098,0.2195,0.930591
0.9009,9.28131e-05,0.21948,0.930323
0.934267,9.52972e-05,0.219464,0.930292
0.967633,8.66168e-05,0.219435,0.930417
1.001,8.41608e-05,0.219439,0.930337
1.03437,7.28193e-05,0.219421,0.930247
1.06773,7.54285e-05,0.219421,0.930335
1.1011,7.60423e-05,0.219409,0.930383
1.13447,6.45089e-05,0.219413,0.930066
1.16783,6.32394e-05,0.219407,0.929809
1.2012,5.50107e-05,0.219397,0.929721
1.23457,4.31475e-05,0.219394,0.929288
1.26793,2.71573e-05,0.219398,0.929208
1.3013,2.04993e-05,0.219395,0.928833
1.33467,2.72699e-05,0.219389,0.929085
1.36803,2.56194e-05,0.21937,0.928863
1.4014,3.47653e-05,0.219365,0.929099
1.43477,2.46474e-05,0.219373,0.928871
1.46813,2.49777e-05,0.219369,0.929075
1.5015,3.12682e-05,0.21937,0.929172
1.53487,3.03885e-05,0.219373,0.929258
1.56823,1.75334e-05,0.219366,0.929136
1.6016,2.11132e-05,0.219362,0.929025
1.63497,2.16295e-05,0.219372,0.928922
1.66833,2.41023e-05,0.219349,0.928656
1.7017,1.12184e-05,0.219352,0.928532
1.73507,1.24906e-05,0.219349,0.928506
1.76843,3.98721e-06,0.219348,0.928502
1.8018,-3.9128e-06,0.219347,0.928456
1.83517,-1.14336e-05,0.219359,0.92852
1.86853,-1.15752e-05,0.219342,0.92839
1.9019,-2.57897e-05,0.219343,0.928102
1.93527,7.73529e-06,0.21932,0.928334
1.96863,9.44348e-06,0.219336,0.92874
2.002,9.67358e-06,0.219344,0.928578
2.03537,2.62466e-05,0.219368,0.928122
2.06873,2.89147e-06,0.219383,0.927852
2.1021,2.9494e-05,0.219403,0.928044
2.13547,4.6416e-05,0.21942,0.927508
2.16883,3.32302e-05,0.219435,0.92771
2.2022,1.84886e-05,0.219447,0.927402
2.23557,3.0966e-05,0.219446,0.927636
2.26893,3.96556e-05,0.219458,0.927835
2.3023,2.64469e-05,0.219458,0.927847
2.33567,1.76049e-05,0.21947,0.928267
2.36903,2.17243e-05,0.219497,0.928319
2.4024,3.34606e-05,0.219492,0.928266
2.43577,3.01357e-05,0.219509,0.928071
2.46913,3.61182e-05,0.219498,0.928019
2.5025,3.84533e-05,0.219504,0.92784
2.53587,3.75055e-05,0.219502,0.928163
2.56923,3.76225e-05,0.219507,0.928339
2.6026,3.7954e-05,0.219513,0.928119
2.63597,3.27459e-05,0.219531,0.92846
2.66933,3.51932e-05,0.219529,0.928392
2.7027,1.53873e-05,0.219526,0.928748
2.73607,1.58633e-05,0.219532,0.928878
2.76943,1.85019e-05,0.219525,0.929064
2.8028,1.83321e-05,0.219529,0.928967
2.83617,-5.4066e-06,0.219538,0.929021
2.86953,1.06283e-05,0.219527,0.929421
2.9029,2.28316e-05,0.219508,0.93006
2.93627,7.76695e-06,0.219515,0.929537
2.96963,8.96402e-06,0.219538,0.92955
3.003,7.52432e-06,0.219536,0.929465
3.03637,1.62686e-05,0.219522,0.929801
3.06973,1.52163e-05,0.219547,0.929756
3.1031,1.11819e-05,0.219547,0.92972
3.13647,3.00956e-06,0.219548,0.929753
3.16983,3.63428e-06,0.219524,0.929723
3.2032,-2.84503e-06,0.219537,0.929415
3.23657,-8.7991e-06,0.219521,0.929477
3.26993,6.70044e-07,0.219523,0.929415
3.3033,-4.86552e-06,0.219526,0.929267
3.33667,5.18415e-06,0.219511,0.929487
3.37003,1.30588e-05,0.219506,0.929344
3.4034,1.85581e-05,0.219514,0.929528
3.43677,8.60957e-07,0.219519,0.929634
3.47013,-6.03541e-06,0.219534,0.929634
3.5035,-1.02089e-05,0.219529,0.92944
3.53687,-9.97704e-06,0.219537,0.929444
3.57023,2.25699e-06,0.219535,0.929715
3.6036,-9.15085e-06,0.219543,0.929638
3.63697,-4.23222e-06,0.219556,0.929961
3.67033,2.67589e-06,0.219547,0.93
3.7037,3.38221e-07,0.219553,0.930032
3.73707,-3.31103e-06,0.219564,0.929925
3.77043,-2.18158e-07,0.219553,0.929906
3.8038,8.06038e-06,0.219543,0.930155
3.83717,-3.33703e-06,0.219547,0.930065
3.87053,1.90682e-06,0.219549,0.930327
3.9039,4.04593e-06,0.219538,0.929965
3.93727,2.60952e-06,0.219534,0.9298
3.97063,-5.1009e-06,0.219537,0.929683
4.004,-6.42073e-07,0.219531,0.929567
4.03737,6.4613e-06,0.219518,0.929538
4.07073,4.59254e-06,0.219533,0.929531
4.1041,1.91985e-05,0.219527,0.929834
4.13747,2.68008e-05,0.219527,0.929844
4.17083,1.35044e-05,0.219536,0.929956
4.2042,1.29937e-05,0.219535,0.930044
4.23757,1.63066e-05,0.219538,0.930102
4.27093,5.64131e-06,0.219528,0.929875
4.3043,3.62881e-05,0.219537,0.929796
4.33767,2.71098e-05,0.219546,0.929784
4.37103,1.97568e-05,0.219537,0.929839
4.4044,2.56689e-05,0.219528,0.929734
4.43777,1.86879e-05,0.219552,0.929758
4.47113,1.23018e-05,0.219542,0.929537
4.5045,8.386e-06,0.21956,0.9297
4.53787,5.13296e-06,0.219559,0.929729
4.57123,1.04124e-05,0.219547,0.929496
4.6046,3.58995e-06,0.219543,0.929345
4.63797,1.99047e-05,0.219527,0.929549
4.67133,6.49706e-06,0.219545,0.929277
4.7047,7.47076e-06,0.219547,0.929434
4.73807,4.48092e-06,0.219541,0.92942
4.77143,1.76143e-06,0.219534,0.929519
4.8048,7.45387e-06,0.219524,0.9296
4.83817,1.57184e-05,0.219512,0.929844
4.87153,8.60792e-06,0.219524,0.929709
4.9049,9.15507e-06,0.219517,0.929899
4.93827,2.53987e-05,0.219529,0.930247
4.97163,1.41114e-05,0.219535,0.930867
5.005,6.85632e-06,0.219546,0.93085
5.03837,1.69935e-05,0.219546,0.930419
5.07173,1.68024e-05,0.219546,0.930349
5.1051,2.05948e-05,0.219519,0.93055
5.13847,5.20328e-06,0.219507,0.929186
5.17183,6.11114e-06,0.219512,0.929036
5.2052,-3.86332e-06,0.219515,0.92893
5.23857,-6.736e-06,0.219507,0.92875
5.27193,-1.24098e-05,0.219531,0.929197
5.3053,-1.09155e-05,0.219532,0.928767
5.33867,-1.16864e-05,0.219532,0.928495
5.37203,-2.1886e-05,0.219553,0.928426
5.4054,-8.89053e-06,0.219541,0.928228
5.43877,-1.7137e-05,0.21954,0.928076
5.47213,-1.07693e-05,0.219525,0.928746
5.5055,-2.04341e-05,0.219507,0.928681
5.53887,-2.15563e-05,0.21951,0.928348
5.57223,-1.47402e-05,0.219507,0.928358
5.6056,-3.46146e-05,0.219486,0.928375
5.63897,-2.65286e-05,0.219493,0.928369
5.67233,-2.64807e-05,0.219482,0.92828
5.7057,-2.26937e-05,0.21949,0.928399
5.73907,-1.0939e-05,0.219449,0.928814
5.77243,-5.88949e-06,0.219454,0.929
5.8058,2.18158e-07,0.219457,0.92924
5.83917,-2.42877e-06,0.219464,0.92935
5.87253,-1.21093e-05,0.219482,0.929216
5.9059,2.32124e-06,0.219505,0.92929
5.93927,6.8744e-06,0.219521,0.930403
5.97263,1.11766e-05,0.219544,0.930532
6.006,2.02257e-05,0.219547,0.930608
6.03937,2.46208e-05,0.219573,0.93077
6.07273,1.7472e-05,0.219583,0.930719
6.1061,2.44339e-05,0.219582,0.930743
6.13947,3.59874e-05,0.219554,0.930886
6.17283,1.93949e-05,0.219537,0.931093
6.2062,4.62368e-06,0.219522,0.931189
6.23957,6.07011e-06,0.219517,0.930981
6.27293,-2.25352e-05,0.219513,0.930412
6.3063,-6.42755e-05,0.219539,0.929632
6.33967,-0.000124363,0.219553,0.929012
6.37303,-0.000224464,0.219574,0.927974
6.4064,-0.000253573,0.219531,0.927441
6.43977,-0.000277255,0.21952,0.926483
6.47313,-0.000294432,0.219543,0.926321
6.5065,-0.000319195,0.219562,0.926037
6.53987,-0.000317537,0.219545,0.926252
6.57323,-0.000326287,0.219582,0.926434
6.6066,-0.000300725,0.219593,0.92673
6.63997,-0.000301843,0.219596,0.926687
6.67333,-0.000283161,0.21961,0.926997
6.7067,-0.000299959,0.219601,0.927243
6.74007,-0.000321726,0.219615,0.927065
6.77343,-0.000304049,0.219591,0.926836
6.8068,-0.000327585,0.219601,0.926674
6.84017,-0.000252836,0.21963,0.927594
6.87353,-0.000155983,0.219623,0.92898
6.9069,-0.000166465,0.219628,0.928997
6.94027,-0.000162274,0.219608,0.929081
6.97363,-0.00014656,0.219555,0.929322
7.007,-0.00015849,0.219537,0.928614
7.04037,-0.000166288,0.219527,0.92859
7.07373,-0.000153326,0.219529,0.928651
7.1071,-0.00016294,0.219514,0.928474
7.14047,-0.000168252,0.219512,0.928306
7.17383,-0.000182198,0.219495,0.928133
7.2072,-0.000148011,0.219515,0.928615
7.24057,-0.000141194,0.219514,0.92874
7.27393,-0.000141642,0.219517,0.928532
7.3073,-0.000153871,0.219531,0.928178
