# video = bench_90x4_3_20260727.mov
# tracker = plate
# commit = db0eaf5
# generated = 2026-08-07T12:28Z
# n_frames = 1142
# lift = bench
# camera_side = right
# fps = 30
# m_per_px = 0.004521276596
# travel_m = 0.2981621659
# plate_radius_px = 47
# seed_frame = 628
t,x,height,score
0,3.52312e-05,0.228474,0.92012
0.0333333,2.60483e-05,0.228514,0.921628
0.0666667,2.49414e-05,0.228505,0.921744
0.1,2.65388e-05,0.228511,0.921746
0.133333,2.59043e-05,0.228491,0.921642
0.166667,9.21417e-06,0.228504,0.921453
0.2,7.33704e-06,0.228509,0.921316
0.233333,8.1319e-06,0.228518,0.921363
0.266667,7.52501e-06,0.228495,0.921358
0.3,-4.22067e-06,0.228512,0.921154
0.333333,-6.21489e-06,0.22852,0.921207
0.366667,-3.35413e-06,0.228519,0.921274
0.4,8.66879e-07,0.228542,0.92133
0.433333,7.82495e-06,0.228593,0.921378
0.466667,1.32899e-05,0.2286,0.921125
0.5,1.11969e-05,0.228604,0.921222
0.533333,1.04839e-05,0.228593,0.921643
0.566667,1.26502e-05,0.228576,0.921223
0.6,8.6857e-06,0.228582,0.921414
0.633333,1.07058e-05,0.228589,0.921275
0.666667,1.94092e-05,0.228581,0.921414
0.7,1.18856e-05,0.228551,0.921162
0.733333,8.39829e-06,0.228544,0.920851
0.766667,5.59304e-06,0.228548,0.920765
0.8,5.75918e-06,0.228556,0.920631
0.833333,-2.34233e-06,0.228538,0.920611
0.866667,-3.6026e-06,0.228508,0.920466
0.9,-9.29785e-06,0.22849,0.920059
0.933333,-4.25961e-06,0.228479,0.92019
0.966667,-2.86514e-06,0.228497,0.920208
1,-6.75562e-06,0.228472,0.920288
1.03333,-6.08823e-06,0.22848,0.920366
1.06667,-6.70361e-06,0.228476,0.920233
1.1,-3.29929e-06,0.22848,0.920351
1.13333,-7.41708e-06,0.228481,0.920249
1.16667,-6.372e-06,0.228469,0.920166
1.2,-8.41554e-06,0.228474,0.920105
1.23333,-7.45063e-06,0.228464,0.920332
1.26667,-7.97465e-06,0.228483,0.92034
1.3,-5.75352e-06,0.228468,0.920315
1.33333,-8.79269e-06,0.228461,0.919981
1.36667,-5.37112e-06,0.22846,0.920143
1.4,-5.63859e-06,0.228495,0.921012
1.43333,-5.5285e-06,0.228484,0.920982
1.46667,-2.61842e-06,0.228486,0.920988
1.5,3.38835e-06,0.228537,0.920918
1.53333,3.30939e-06,0.22853,0.921002
1.56667,8.37188e-06,0.228528,0.921023
1.6,1.10265e-05,0.228522,0.920921
1.63333,1.96427e-05,0.228537,0.921008
1.66667,2.23934e-05,0.228533,0.921423
1.7,2.39606e-05,0.228515,0.921481
1.73333,2.43705e-05,0.228508,0.921338
1.76667,1.76249e-05,0.228498,0.920859
1.8,7.40738e-06,0.228481,0.920858
1.83333,7.70395e-06,0.228469,0.921006
1.86667,5.03574e-06,0.22849,0.920935
1.9,3.60058e-06,0.228482,0.920716
1.93333,1.09738e-05,0.228464,0.921471
1.96667,1.10689e-05,0.228474,0.921747
2,9.14585e-06,0.228469,0.921646
2.03333,6.25653e-06,0.228494,0.921523
2.06667,5.74867e-06,0.228477,0.921472
2.1,4.96729e-06,0.228489,0.921155
2.13333,3.57605e-06,0.228469,0.921034
2.16667,2.42224e-06,0.228461,0.921126
2.2,3.54425e-06,0.228454,0.920998
2.23333,1.13745e-06,0.228465,0.921241
2.26667,-3.72818e-06,0.228473,0.921021
2.3,-9.10368e-06,0.22846,0.920641
2.33333,-4.08323e-06,0.228488,0.920827
2.36667,-6.56334e-06,0.228493,0.921109
2.4,-2.63904e-06,0.228502,0.921016
2.43333,-3.56298e-06,0.228493,0.920914
2.46667,4.42164e-07,0.228512,0.921425
2.5,-4.68648e-06,0.228478,0.920754
2.53333,7.21624e-07,0.228473,0.920735
2.56667,-1.08287e-06,0.228483,0.92053
2.6,-2.1256e-07,0.228491,0.920985
2.63333,-2.07042e-06,0.228487,0.920545
2.66667,6.10864e-07,0.228485,0.920527
2.7,-8.8736e-07,0.228482,0.920473
2.73333,8.29151e-07,0.228481,0.920557
2.76667,-2.49001e-06,0.228468,0.920637
2.8,-4.06127e-06,0.228477,0.920797
2.83333,2.99274e-06,0.228473,0.920938
2.86667,2.72016e-06,0.228459,0.921091
2.9,8.75671e-06,0.228456,0.921102
2.93333,5.80284e-06,0.228451,0.920982
2.96667,3.26884e-06,0.228455,0.921047
3,3.86629e-06,0.228452,0.921101
3.03333,4.54419e-06,0.228457,0.921068
3.06667,2.48516e-06,0.22844,0.921158
3.1,-2.03565e-06,0.228438,0.921093
3.13333,-3.46361e-07,0.228454,0.921096
3.16667,-2.177e-06,0.228458,0.921155
3.2,4.9076e-06,0.228476,0.921445
3.23333,1.19255e-05,0.228474,0.92132
3.26667,9.4621e-06,0.228467,0.921315
3.3,7.87696e-06,0.228463,0.921424
3.33333,3.99524e-06,0.22845,0.921202
3.36667,-5.74301e-06,0.228443,0.920714
3.4,-3.73788e-06,0.228445,0.920923
3.43333,-1.18609e-06,0.228437,0.920983
3.46667,-4.31324e-06,0.228431,0.920924
3.5,-4.22054e-06,0.22842,0.920779
3.53333,4.64242e-06,0.228422,0.920901
3.56667,-2.8074e-07,0.228437,0.921047
3.6,-6.05293e-06,0.228417,0.920567
3.63333,-6.14482e-06,0.228414,0.920598
3.66667,-4.0711e-06,0.228411,0.9206
3.7,-5.25713e-06,0.228411,0.920743
3.73333,-1.76306e-06,0.228421,0.920693
3.76667,-5.1787e-06,0.228411,0.920723
3.8,-5.24459e-06,0.228414,0.920599
3.83333,-3.07709e-06,0.228413,0.920938
3.86667,-1.33768e-06,0.228436,0.921344
3.9,-2.50018e-07,0.228449,0.921468
3.93333,-7.79693e-06,0.228453,0.921256
3.96667,-4.63892e-06,0.228461,0.921364
4,-6.04538e-06,0.228459,0.921341
4.03333,-3.15511e-06,0.228471,0.921731
4.06667,-5.23813e-06,0.228464,0.921344
4.1,-8.1924e-06,0.228459,0.921643
4.13333,-6.99088e-06,0.228469,0.921496
4.16667,-5.87884e-06,0.228486,0.921335
4.2,-3.08747e-06,0.228476,0.921525
4.23333,-4.06113e-06,0.228456,0.92159
4.26667,-5.17197e-06,0.228451,0.921815
4.3,-6.56967e-06,0.228489,0.92156
4.33333,-9.22697e-06,0.228475,0.921018
4.36667,-1.14248e-05,0.228464,0.920922
4.4,-7.83519e-06,0.228494,0.921433
4.43333,-1.37462e-05,0.22847,0.921362
4.46667,-9.27063e-06,0.228479,0.921843
4.5,-4.02071e-06,0.228495,0.921949
4.53333,-8.36097e-06,0.228497,0.921976
4.56667,-1.04715e-05,0.2285,0.921908
4.6,-1.28932e-05,0.228519,0.921853
4.63333,-1.20776e-05,0.228509,0.921852
4.66667,-8.23862e-06,0.228518,0.921714
4.7,-2.59498e-06,0.228493,0.921813
4.73333,1.21614e-06,0.228503,0.921873
4.76667,2.10154e-06,0.228503,0.921843
4.8,-1.14742e-06,0.228508,0.921783
4.83333,3.37872e-07,0.228506,0.921427
4.86667,-2.70399e-06,0.228499,0.921371
4.9,-5.17102e-06,0.228487,0.921395
4.93333,-3.83422e-06,0.228476,0.921289
4.96667,-5.00933e-06,0.228509,0.921275
5,-1.59571e-06,0.228516,0.921358
5.03333,-1.81076e-06,0.228512,0.921265
5.06667,8.18236e-07,0.22853,0.921517
5.1,5.52271e-06,0.228511,0.921706
5.13333,2.1256e-07,0.228484,0.921279
5.16667,-9.89901e-07,0.228477,0.921229
5.2,1.22153e-06,0.228486,0.921401
5.23333,-2.37952e-06,0.228516,0.921775
5.26667,-3.01821e-06,0.228491,0.921453
5.3,-1.06185e-06,0.2285,0.921759
5.33333,-4.73351e-06,0.228507,0.921679
5.36667,-2.8107e-06,0.228505,0.921356
5.4,-4.44691e-06,0.228496,0.921714
5.43333,-6.33885e-06,0.228493,0.921521
5.46667,-4.79536e-06,0.228513,0.921494
5.5,1.40976e-06,0.228526,0.921344
5.53333,-5.56293e-07,0.228507,0.921462
5.56667,-2.34193e-06,0.228509,0.92139
5.6,4.86327e-06,0.228503,0.921504
5.63333,4.43707e-06,0.22852,0.921155
5.66667,6.96286e-06,0.228508,0.921068
5.7,6.77206e-06,0.228502,0.921113
5.73333,2.84345e-06,0.228509,0.921051
5.76667,-3.64343e-06,0.228539,0.920956
5.8,5.79408e-06,0.228485,0.92127
5.83333,-1.25926e-06,0.228481,0.921245
5.86667,-5.83181e-06,0.228474,0.921288
5.9,-6.33198e-06,0.228461,0.921259
5.93333,-9.04695e-06,0.228463,0.921335
5.96667,-1.28346e-05,0.228484,0.921122
6,-1.07109e-05,0.22849,0.921285
6.03333,-1.45829e-05,0.228488,0.921301
6.06667,-1.16349e-05,0.228493,0.921384
6.1,-7.55142e-06,0.228504,0.921612
6.13333,-3.8539e-06,0.228505,0.921899
6.16667,-8.03219e-06,0.228502,0.921545
6.2,-3.85376e-06,0.228501,0.921811
6.23333,-3.91345e-06,0.228497,0.921794
6.26667,-1.96747e-06,0.228499,0.921782
6.3,4.88921e-07,0.228507,0.921786
6.33333,1.05404e-06,0.228526,0.921797
6.36667,-3.39037e-06,0.228489,0.92131
6.4,-6.5496e-06,0.228485,0.921118
6.43333,-1.15114e-05,0.228479,0.921032
6.46667,-6.10413e-06,0.228472,0.921328
6.5,-6.25248e-06,0.228491,0.921318
6.53333,-3.31559e-06,0.228497,0.921249
6.56667,-1.10164e-05,0.228482,0.921084
6.6,-1.46285e-06,0.228509,0.921385
6.63333,1.04622e-06,0.228501,0.921361
6.66667,4.15923e-06,0.228508,0.921611
6.7,5.3249e-06,0.228527,0.921493
6.73333,4.42804e-06,0.228514,0.921481
6.76667,3.16441e-06,0.228492,0.921408
6.8,5.35118e-06,0.228496,0.92145
6.83333,1.00453e-05,0.228508,0.921638
6.86667,4.30037e-07,0.228492,0.921805
6.9,-4.46833e-06,0.228495,0.921937
6.93333,-1.37432e-05,0.228494,0.921745
6.96667,-1.32766e-05,0.22849,0.921531
7,-1.031e-05,0.228491,0.921683
7.03333,-5.52271e-06,0.228505,0.921723
7.06667,-7.78345e-06,0.228488,0.92124
7.1,-1.25985e-05,0.228481,0.920742
7.13333,-1.69668e-05,0.228479,0.920711
7.16667,-1.62093e-05,0.228498,0.920736
7.2,-9.98262e-06,0.228506,0.921074
7.23333,-4.2999e-06,0.228512,0.921327
7.26667,-1.15263e-05,0.228499,0.921254
7.3,-1.20314e-05,0.228496,0.921284
7.33333,-1.0911e-05,0.228473,0.921218
7.36667,-8.79875e-06,0.228494,0.921258
7.4,4.32052e-06,0.228492,0.921601
7.43333,3.73168e-06,0.228495,0.921703
7.46667,4.12851e-06,0.228504,0.921995
7.5,9.14801e-06,0.228507,0.922642
7.53333,8.89577e-06,0.228511,0.922719
7.56667,9.5261e-06,0.228507,0.922803
7.6,1.6141e-05,0.228522,0.922911
7.63333,2.14141e-05,0.228519,0.923268
7.66667,1.31769e-05,0.228524,0.923176
7.7,1.52153e-05,0.228518,0.923278
7.73333,2.58589e-05,0.228516,0.923886
7.76667,2.12008e-05,0.22853,0.923723
7.8,2.20945e-05,0.228533,0.923866
7.83333,2.66913e-05,0.228544,0.924278
7.86667,2.73543e-05,0.22856,0.924576
7.9,3.49179e-05,0.228576,0.924859
7.93333,3.44629e-05,0.228612,0.925052
7.96667,3.58096e-05,0.22864,0.924962
8,2.94572e-05,0.228669,0.925071
8.03333,1.84273e-05,0.228744,0.924631
8.06667,2.87709e-05,0.228774,0.924522
8.1,3.0692e-05,0.228786,0.924648
8.13333,1.72894e-05,0.22876,0.926049
8.16667,2.08126e-05,0.228759,0.926614
8.2,1.68512e-05,0.228786,0.926589
8.23333,1.70202e-05,0.228787,0.926611
8.26667,1.1578e-05,0.228806,0.92671
8.3,4.21501e-06,0.228818,0.926907
8.33333,4.94735e-06,0.228838,0.926803
8.36667,5.85445e-06,0.228838,0.926619
8.4,7.97411e-06,0.228822,0.92661
8.43333,-1.83509e-05,0.228859,0.925681
8.46667,-1.63e-05,0.22889,0.925592
8.5,-3.09304e-05,0.228899,0.925238
