# video = bench_92.5x2_20260727.mov
# tracker = plate
# commit = db0eaf5
# generated = 2026-08-07T12:28Z
# n_frames = 2211
# lift = bench
# camera_side = right
# fps = 59.94005994
# m_per_px = 0.004427083333
# travel_m = 0.2717048283
# plate_radius_px = 48
# seed_frame = 1216
t,x,height,score
0,5.04835e-05,0.197844,0.90273
0.0166833,1.83186e-05,0.197882,0.902394
0.0333667,1.60155e-05,0.197883,0.902344
0.05005,1.41443e-05,0.197886,0.902245
0.0667333,1.30517e-05,0.197878,0.90217
0.0834167,1.89797e-05,0.197881,0.90241
0.1001,1.95455e-05,0.197878,0.902493
0.116783,1.92968e-05,0.197877,0.902575
0.133467,2.06044e-05,0.197872,0.902571
0.15015,2.97512e-05,0.197869,0.902528
0.166833,2.89251e-05,0.197867,0.902529
0.183517,1.55713e-05,0.197875,0.902102
0.2002,7.31388e-06,0.197876,0.901701
0.216883,3.41522e-05,0.197877,0.90196
0.233567,3.26941e-05,0.19788,0.901938
0.25025,3.40166e-05,0.197879,0.90198
0.266933,3.6382e-05,0.197867,0.902147
0.283617,2.39968e-05,0.197903,0.901928
0.3003,1.87275e-05,0.197911,0.90149
0.316983,2.0287e-05,0.197915,0.901823
0.333667,2.45076e-05,0.19791,0.901738
0.35035,2.38675e-05,0.197908,0.902035
0.367033,2.12372e-05,0.197918,0.902427
0.383717,2.00691e-05,0.197905,0.90235
0.4004,1.61806e-05,0.197907,0.902273
0.417083,1.4036e-05,0.197905,0.902298
0.433767,2.1566e-05,0.197904,0.902
0.45045,1.56994e-05,0.197904,0.90177
0.467133,1.53367e-05,0.197905,0.902212
0.483817,3.63098e-05,0.197893,0.902415
0.5005,3.51643e-05,0.197898,0.902625
0.517183,3.41329e-05,0.197895,0.902438
0.533867,3.05073e-05,0.197885,0.902276
0.55055,2.24109e-05,0.197884,0.902348
0.567233,2.34217e-05,0.197891,0.902195
0.583917,1.77498e-05,0.197897,0.902499
0.6006,2.05182e-05,0.197893,0.902438
0.617283,1.83917e-05,0.197889,0.902285
0.633967,2.27721e-05,0.197883,0.902371
0.65065,1.97618e-05,0.197883,0.902084
0.667333,2.34257e-05,0.197883,0.902336
0.684017,2.32981e-05,0.197884,0.902161
0.7007,2.06636e-05,0.197872,0.901784
0.717383,2.13723e-05,0.197881,0.90155
0.734067,1.58578e-05,0.197873,0.901364
0.75075,1.50365e-05,0.197868,0.901805
0.767433,1.81062e-05,0.197877,0.902281
0.784117,2.81719e-05,0.197879,0.902183
0.8008,2.32875e-05,0.197906,0.902414
0.817483,2.88439e-05,0.197923,0.902283
0.834167,3.28647e-05,0.197954,0.902194
0.85085,2.9088e-05,0.197977,0.901877
0.867533,3.40466e-05,0.197981,0.902159
0.884217,3.00295e-05,0.19798,0.901968
0.9009,3.22336e-05,0.197997,0.902511
0.917583,3.15748e-05,0.198005,0.902619
0.934267,3.24783e-05,0.198011,0.902514
0.95095,3.60227e-05,0.198022,0.902395
0.967633,5.94733e-05,0.197985,0.903053
0.984317,5.20131e-05,0.19801,0.903
1.001,3.94086e-05,0.198036,0.902609
1.01768,5.28168e-05,0.198027,0.902965
1.03437,4.39037e-05,0.198034,0.902872
1.05105,4.32623e-05,0.198032,0.90303
1.06773,3.69784e-05,0.198039,0.902773
1.08442,4.02652e-05,0.198035,0.902761
1.1011,3.76899e-05,0.198033,0.902631
1.11778,2.84683e-05,0.198043,0.902737
1.13447,2.5777e-05,0.198043,0.902291
1.15115,2.66843e-05,0.198039,0.902222
1.16783,2.72104e-05,0.198033,0.902035
1.18452,2.87658e-05,0.198035,0.902237
1.2012,3.4436e-05,0.19803,0.901933
1.21788,3.43411e-05,0.198031,0.902155
1.23457,2.98414e-05,0.198036,0.902173
1.25125,3.23167e-05,0.198035,0.902303
1.26793,3.47052e-05,0.198033,0.902692
1.28462,3.37737e-05,0.198023,0.902268
1.3013,2.6926e-05,0.198024,0.901952
1.31798,2.88659e-05,0.198034,0.902609
1.33467,2.77732e-05,0.198046,0.902585
1.35135,2.34765e-05,0.198048,0.902594
1.36803,2.56414e-05,0.198047,0.90275
1.38472,2.17118e-05,0.19805,0.902595
1.4014,3.34207e-05,0.198041,0.902512
1.41808,3.28988e-05,0.198036,0.902387
1.43477,2.86157e-05,0.198039,0.902142
1.45145,4.32163e-05,0.198008,0.902555
1.46813,3.7757e-05,0.198017,0.90266
1.48482,3.80848e-05,0.198023,0.902653
1.5015,4.09375e-05,0.198029,0.902939
1.51818,3.4563e-05,0.198044,0.90292
1.53487,3.94034e-05,0.198041,0.902841
1.55155,3.6909e-05,0.198036,0.902667
1.56823,3.98991e-05,0.198029,0.90275
