# video = bench_spoto_90x5_1_20260730.mov
# tracker = plate
# commit = db0eaf5
# generated = 2026-08-07T12:28Z
# n_frames = 1256
# lift = bench
# camera_side = right
# fps = 30
# m_per_px = 0.004166666667
# travel_m = 0.2318016576
# plate_radius_px = 51
# seed_frame = 690
t,x,height,score
0,0.000862877,0.181086,0.776442
0.0333333,0.000826064,0.181099,0.778084
0.0666667,0.000826066,0.181099,0.778084
0.1,0.000825664,0.181099,0.778114
0.133333,0.000828182,0.181096,0.777672
0.166667,0.000819899,0.181098,0.777746
0.2,0.000815755,0.181103,0.777693
0.233333,0.000811519,0.181101,0.777751
0.266667,0.000814577,0.181108,0.777858
0.3,0.000814377,0.181089,0.77826
0.333333,0.000814379,0.181089,0.77826
0.366667,0.000814669,0.181091,0.778255
0.4,0.000834558,0.181088,0.778104
0.433333,0.000841329,0.181077,0.778563
0.466667,0.000842065,0.181077,0.778575
0.5,0.000841224,0.181074,0.778611
0.533333,0.000828513,0.181068,0.778619
0.566667,0.000801371,0.181052,0.779187
0.6,0.000797485,0.18105,0.779127
0.633333,0.000799159,0.181051,0.779115
0.666667,0.000797659,0.181043,0.779154
0.7,0.000772474,0.181047,0.7789
0.733333,0.000767175,0.181049,0.779031
0.766667,0.00077482,0.181047,0.778933
0.8,0.000772814,0.181047,0.779142
0.833333,0.000771718,0.181045,0.77914
0.866667,0.000769418,0.181044,0.779199
0.9,0.000771916,0.181041,0.779159
0.933333,0.000772342,0.181039,0.779169
0.966667,0.000747277,0.181067,0.77885
1,0.000747558,0.181066,0.778662
1.03333,0.00074497,0.181066,0.77874
1.06667,0.000746654,0.181065,0.77864
1.1,0.000742564,0.181068,0.77889
1.13333,0.000744704,0.181075,0.77864
1.16667,0.000745223,0.181079,0.778679
1.2,0.000748112,0.181075,0.778672
1.23333,0.00074691,0.181089,0.778713
1.26667,0.000757307,0.181094,0.778423
1.3,0.000759715,0.181101,0.778382
1.33333,0.000760037,0.181102,0.778289
1.36667,0.000755071,0.181104,0.778338
1.4,0.000765888,0.181105,0.778334
1.43333,0.000769428,0.181105,0.778363
1.46667,0.000767978,0.181105,0.778295
1.5,0.000767264,0.181106,0.778474
1.53333,0.000780708,0.181108,0.778177
1.56667,0.000781501,0.181111,0.778195
1.6,0.000780938,0.18111,0.778243
1.63333,0.000783438,0.181108,0.778005
1.66667,0.000802378,0.181097,0.778006
1.7,0.000801407,0.181097,0.777909
1.73333,0.000811294,0.181091,0.778036
1.76667,0.000812247,0.181093,0.777919
1.8,0.000815846,0.181084,0.777865
1.83333,0.000819425,0.181085,0.777774
1.86667,0.000815987,0.181082,0.777761
1.9,0.000824694,0.181086,0.777626
1.93333,0.000854767,0.181085,0.777319
1.96667,0.000847278,0.181082,0.777303
2,0.000844704,0.18108,0.77722
