# video = bench_spoto_90x5_2_20260730.mov
# tracker = plate
# commit = db0eaf5
# generated = 2026-08-07T12:28Z
# n_frames = 1389
# lift = bench
# camera_side = right
# fps = 29.97002997
# m_per_px = 0.004166666667
# travel_m = 0.2179335333
# plate_radius_px = 51
# seed_frame = 763
t,x,height,score
0,0.000223334,0.172045,0.795426
0.0333667,0.000250836,0.172078,0.793901
0.0667333,0.000266312,0.172084,0.793944
0.1001,0.000259125,0.172082,0.793803
0.133467,0.000205699,0.172074,0.793683
0.166833,0.000180495,0.172088,0.793316
0.2002,0.000196381,0.172092,0.793278
0.233567,0.000199251,0.172089,0.793215
0.266933,0.000196841,0.172089,0.793181
0.3003,0.000160792,0.172113,0.792128
0.333667,0.000161184,0.172112,0.792066
0.367033,0.000185895,0.172121,0.792332
0.4004,0.000203697,0.172113,0.792572
0.433767,0.000151634,0.172101,0.791851
0.467133,0.000120357,0.172094,0.791497
0.5005,0.000143559,0.172102,0.791818
0.533867,0.000195311,0.172118,0.791928
0.567233,0.000163865,0.172114,0.791601
0.6006,0.000146938,0.172117,0.791234
0.633967,0.000154068,0.172127,0.791362
0.667333,0.000169783,0.172115,0.791569
0.7007,0.000173504,0.172107,0.791798
0.734067,0.000172523,0.172109,0.791659
0.767433,0.000169488,0.172102,0.791839
0.8008,0.000162044,0.172097,0.791713
0.834167,0.000163407,0.172073,0.791848
0.867533,0.000154522,0.172068,0.79185
0.9009,0.000154755,0.172059,0.791953
0.934267,0.000154281,0.172054,0.791784
0.967633,0.000173017,0.172051,0.791925
1.001,0.000169201,0.172052,0.791953
1.03437,0.000168566,0.172055,0.791726
1.06773,0.000168904,0.172056,0.791591
1.1011,0.00017098,0.172066,0.791501
1.13447,0.000178826,0.172066,0.791395
1.16783,0.00017912,0.172071,0.791205
1.2012,0.000175752,0.172075,0.791284
1.23457,0.000171352,0.17207,0.791492
1.26793,0.000166782,0.172073,0.791364
1.3013,0.000168103,0.172069,0.791338
