# video = squat_130x5.mov
# tracker = plate
# commit = db0eaf5
# generated = 2026-08-07T12:28Z
# n_frames = 1462
# lift = squat
# camera_side = right
# fps = 29.97002997
# m_per_px = 0.0028125
# travel_m = 0.731065371
# plate_radius_px = 80
# seed_frame = 829
t,x,height,score
0,0.232464,0.000979759,0.273761
0.0333667,0.232308,0.00103478,0.277518
0.0667333,0.232382,0.0010922,0.281648
0.1001,0.232405,0.00116009,0.286394
0.133467,0.232357,0.00123522,0.290233
0.166833,0.232411,0.00127921,0.295054
0.2002,0.232703,0.00127958,0.297589
0.233567,0.23289,0.00127646,0.299842
0.266933,0.232967,0.00132647,0.301218
0.3003,0.232924,0.00129861,0.303823
0.333667,0.232935,0.001304,0.305223
0.367033,0.233156,0.00129823,0.307276
0.4004,0.233177,0.00129875,0.308144
0.433767,0.233246,0.00131059,0.309225
0.467133,0.233248,0.00130154,0.309401
0.5005,0.233328,0.00126689,0.308761
0.533867,0.233424,0.00126152,0.30765
0.567233,0.233497,0.0012578,0.306518
0.6006,0.233454,0.00123489,0.306947
0.633967,0.233486,0.00119809,0.308184
0.667333,0.233616,0.00114725,0.309603
0.7007,0.233936,0.00113514,0.313219
0.734067,0.234194,0.00109614,0.31677
0.767433,0.234265,0.00101336,0.321101
0.8008,0.234399,0.000983262,0.32556
0.834167,0.234301,0.000931215,0.333416
0.867533,0.233675,0.000817919,0.337668
0.9009,0.233027,0.000727971,0.342021
0.934267,0.232605,0.000682426,0.34506
0.967633,0.232026,0.000710498,0.349954
1.001,0.231109,0.000773821,0.353406
1.03437,0.230646,0.000789751,0.355762
1.06773,0.230228,0.000862458,0.35848
1.1011,0.230039,0.000852855,0.360228
1.13447,0.229231,0.000940451,0.362864
1.16783,0.228649,0.000941661,0.364366
1.2012,0.228108,0.000920696,0.366916
1.23457,0.227383,0.000902275,0.368626
1.26793,0.226572,0.000925488,0.370859
1.3013,0.226405,0.000936325,0.373225
1.33467,0.226231,0.000870015,0.374644
1.36803,0.226155,0.000830074,0.374309
1.4014,0.226399,0.00098622,0.374798
1.43477,0.226507,0.00110588,0.37701
1.46813,0.226283,0.00104446,0.378691
1.5015,0.226013,0.00105842,0.379024
1.53487,0.225887,0.0011069,0.379035
1.56823,0.225879,0.00112391,0.37882
1.6016,0.225818,0.0011292,0.37832
1.63497,0.225768,0.00115556,0.378066
1.66833,0.225704,0.00116967,0.378036
1.7017,0.225719,0.00117449,0.37782
1.73507,0.22569,0.00121213,0.377854
1.76843,0.225753,0.00122475,0.37779
1.8018,0.22577,0.00122717,0.377986
1.83517,0.225794,0.00121145,0.377872
1.86853,0.225759,0.0012119,0.377908
1.9019,0.225653,0.00118861,0.377218
1.93527,0.225652,0.00115333,0.37739
1.96863,0.225654,0.00112616,0.378253
2.002,0.225764,0.00114671,0.378777
2.03537,0.225756,0.00109458,0.379041
2.06873,0.225705,0.00114072,0.379056
2.1021,0.225651,0.00119168,0.378827
2.13547,0.225679,0.00116325,0.378582
2.16883,0.225806,0.00113595,0.378883
2.2022,0.226141,0.00104526,0.379074
2.23557,0.22598,0.00101558,0.380907
2.26893,0.225535,0.00111191,0.382749
2.3023,0.225643,0.00120435,0.384506
2.33567,0.225753,0.00121091,0.385416
2.36903,0.225731,0.00122077,0.385586
2.4024,0.225737,0.0012257,0.385407
2.43577,0.22581,0.00121165,0.385982
2.46913,0.225897,0.00120024,0.38611
2.5025,0.225947,0.00118615,0.386412
2.53587,0.225949,0.00116729,0.386933
2.56923,0.225997,0.00113742,0.388274
2.6026,0.226074,0.0011669,0.390263
2.63597,0.226172,0.00118317,0.391647
2.66933,0.226327,0.00124947,0.392322
2.7027,0.226533,0.00127531,0.392439
2.73607,0.227068,0.00132017,0.392595
2.76943,0.227096,0.00129215,0.392679
2.8028,0.226975,0.00123995,0.393939
2.83617,0.228245,0.00118483,0.396826
2.86953,0.226492,0.00108415,0.397426
2.9029,0.225952,0.00123692,0.399243
2.93627,0.226021,0.00118236,0.398024
2.96963,0.225962,0.00113646,0.39691
3.003,0.225983,0.00111247,0.396167
3.03637,0.226153,0.00112234,0.395198
3.06973,0.226217,0.00118505,0.395718
