# video = squat_135x5.mov
# tracker = plate
# commit = db0eaf5
# generated = 2026-08-07T12:28Z
# n_frames = 1728
# lift = squat
# camera_side = right
# fps = 30
# m_per_px = 0.002556818182
# travel_m = 0.5095025252
# plate_radius_px = 88
# seed_frame = 972
t,x,height,score
0,0.202881,0.0188493,0.311156
0.0333333,0.203106,0.0189685,0.313263
0.0666667,0.203207,0.0190105,0.313531
0.1,0.203215,0.0189505,0.314447
0.133333,0.203263,0.0190506,0.315146
0.166667,0.203385,0.0189624,0.316042
0.2,0.203451,0.0189387,0.316335
0.233333,0.203573,0.0188426,0.316966
0.266667,0.20363,0.0186923,0.317721
0.3,0.204453,0.0185107,0.319606
0.333333,0.204622,0.0183035,0.32082
0.366667,0.216073,0.0173221,0.323909
0.4,0.216129,0.0172549,0.32559
0.433333,0.216239,0.0173052,0.329607
0.466667,0.216307,0.0170271,0.332053
0.5,0.215737,0.0168419,0.334951
0.533333,0.210358,0.0160817,0.337319
0.566667,0.210562,0.0159857,0.340587
0.6,0.210241,0.0159885,0.342662
0.633333,0.210117,0.0159497,0.3443
0.666667,0.210128,0.0159592,0.344177
0.7,0.210434,0.0159391,0.344901
0.733333,0.210444,0.0158907,0.345728
0.766667,0.21076,0.0157968,0.345571
0.8,0.211104,0.0157809,0.345491
0.833333,0.21124,0.0157609,0.345599
0.866667,0.211346,0.0157589,0.345937
0.9,0.21157,0.0157467,0.34565
0.933333,0.211809,0.0157417,0.345472
0.966667,0.211563,0.0157556,0.345212
1,0.211524,0.0157505,0.344604
1.03333,0.21132,0.0157727,0.343462
1.06667,0.211329,0.0157876,0.342803
1.1,0.211378,0.0158214,0.341479
1.13333,0.211405,0.0158423,0.340494
1.16667,0.211292,0.0158681,0.338277
1.2,0.211184,0.0158854,0.337175
1.23333,0.211081,0.0159001,0.335694
1.26667,0.210879,0.015946,0.334023
1.3,0.210982,0.0159784,0.332333
1.33333,0.210901,0.0159819,0.331949
1.36667,0.210767,0.0160165,0.331028
1.4,0.204376,0.0177217,0.330021
1.43333,0.204374,0.0178936,0.328849
1.46667,0.204388,0.0179002,0.328097
1.5,0.20436,0.0181222,0.327682
1.53333,0.204325,0.0181919,0.326639
1.56667,0.204212,0.0180727,0.324408
1.6,0.204156,0.018037,0.323599
1.63333,0.204095,0.0183326,0.322096
1.66667,0.204007,0.0183047,0.320837
1.7,0.203967,0.0182543,0.319843
1.73333,0.203984,0.0181765,0.319339
1.76667,0.203929,0.0182352,0.319497
1.8,0.204043,0.0181586,0.31914
1.83333,0.204141,0.0184246,0.3181
1.86667,0.204321,0.01838,0.317687
1.9,0.204529,0.0183793,0.317291
1.93333,0.206227,0.0170885,0.316603
1.96667,0.207419,0.0170577,0.317111
2,0.208784,0.0173939,0.318224
2.03333,0.208483,0.0174509,0.319044
2.06667,0.208394,0.0175572,0.31923
2.1,0.20898,0.0175451,0.320046
2.13333,0.215837,0.0182512,0.32117
2.16667,0.216046,0.0182886,0.322783
2.2,0.216114,0.018347,0.324705
2.23333,0.216186,0.0182295,0.326654
2.26667,0.216092,0.0181496,0.327941
2.3,0.216176,0.0180545,0.328846
2.33333,0.216032,0.0179425,0.330997
2.36667,0.215928,0.0176854,0.333091
2.4,0.215798,0.0174802,0.334714
2.43333,0.21562,0.0172749,0.336161
2.46667,0.215305,0.0170712,0.337055
2.5,0.215092,0.0168672,0.338902
2.53333,0.214793,0.0169214,0.339953
2.56667,0.214672,0.0168216,0.340574
2.6,0.214453,0.016809,0.342493
2.63333,0.214316,0.0166594,0.343788
2.66667,0.214176,0.0166032,0.344594
2.7,0.214037,0.0164966,0.346096
2.73333,0.213633,0.0165297,0.347708
2.76667,0.21363,0.0163626,0.349987
2.8,0.213503,0.016263,0.351625
2.83333,0.213286,0.0161298,0.352835
2.86667,0.213538,0.0160331,0.35433
2.9,0.213218,0.0158756,0.358618
2.93333,0.213059,0.0158279,0.359363
2.96667,0.212928,0.0157738,0.360789
3,0.212771,0.0156931,0.36188
3.03333,0.212648,0.0156688,0.362911
3.06667,0.212519,0.0155571,0.364739
3.1,0.212353,0.0158285,0.365836
3.13333,0.212295,0.0157939,0.366349
3.16667,0.21225,0.0157923,0.367306
3.2,0.212188,0.0157291,0.368244
3.23333,0.212146,0.0156999,0.369475
3.26667,0.212075,0.0157174,0.370327
3.3,0.212013,0.0157575,0.370755
3.33333,0.211955,0.0157537,0.371303
3.36667,0.211895,0.0157321,0.371125
3.4,0.211913,0.0157091,0.370937
3.43333,0.211831,0.0157229,0.372284
3.46667,0.211704,0.0157256,0.372389
3.5,0.211553,0.0157072,0.37256
3.53333,0.21135,0.0156631,0.372718
3.56667,0.211144,0.0156372,0.373007
3.6,0.211023,0.0155842,0.37248
3.63333,0.210789,0.0155509,0.371427
3.66667,0.210561,0.0154841,0.370362
3.7,0.210431,0.0154912,0.369974
3.73333,0.21039,0.0154523,0.370319
3.76667,0.210309,0.0154544,0.370278
3.8,0.210408,0.0154444,0.370292
3.83333,0.21053,0.0154396,0.370065
3.86667,0.21064,0.0154751,0.370537
3.9,0.210898,0.015483,0.370473
3.93333,0.211079,0.015506,0.370624
3.96667,0.211377,0.0155255,0.370545
4,0.211621,0.0156037,0.370149
4.03333,0.211885,0.0156413,0.369596
4.06667,0.212085,0.0157054,0.369272
4.1,0.212343,0.0157463,0.369081
4.13333,0.212577,0.015544,0.369135
4.16667,0.212809,0.0155406,0.369591
4.2,0.213049,0.0155909,0.36991
4.23333,0.213358,0.0156328,0.369778
4.26667,0.213675,0.0156421,0.369415
4.3,0.213934,0.0156033,0.368147
4.33333,0.214155,0.0155564,0.367521
4.36667,0.214442,0.0156613,0.366812
4.4,0.214715,0.0157424,0.366486
4.43333,0.214916,0.0157799,0.365786
4.46667,0.215114,0.0156891,0.365378
4.5,0.215193,0.0156438,0.365018
