# video = squat_140x4_1_20260730.mov
# tracker = plate
# commit = db0eaf5
# generated = 2026-08-07T12:28Z
# n_frames = 1611
# lift = squat
# camera_side = right
# fps = 29.97002997
# m_per_px = 0.004017857143
# travel_m = 0.125423279
# plate_radius_px = 56
# seed_frame = 1040
t,x,height,score
0,-3.62762e-05,0.00190389,0.716756
0.0333667,-6.30299e-05,0.0019436,0.716588
0.0667333,-6.68784e-05,0.00194451,0.717017
0.1001,-6.92035e-05,0.00194276,0.716647
0.133467,-7.54279e-05,0.00194082,0.716585
0.166833,-7.17194e-05,0.00193634,0.715922
0.2002,-7.4525e-05,0.00193908,0.715605
0.233567,-7.13837e-05,0.00194933,0.715483
0.266933,-7.22583e-05,0.00195202,0.715228
0.3003,-7.55821e-05,0.00197006,0.71426
0.333667,-7.5497e-05,0.00197803,0.713653
0.367033,-8.40075e-05,0.00197654,0.713438
0.4004,-8.78287e-05,0.0019735,0.713381
0.433767,-9.09919e-05,0.0019797,0.713085
0.467133,-9.10654e-05,0.0019801,0.712906
0.5005,-9.50289e-05,0.00198943,0.71269
0.533867,-9.69964e-05,0.00199232,0.712928
0.567233,-0.00010213,0.00199006,0.712881
0.6006,-0.000105901,0.00198411,0.712757
0.633967,-0.000109035,0.00197637,0.712449
0.667333,-0.000112246,0.00197094,0.71249
0.7007,-0.000114329,0.00196443,0.712155
0.734067,-0.000119708,0.00195873,0.711891
0.767433,-0.000122252,0.00195987,0.711431
0.8008,-0.00012259,0.00194787,0.711211
0.834167,-0.00012702,0.00195075,0.710752
0.867533,-0.00012866,0.00194649,0.710676
0.9009,-0.000128637,0.00195272,0.710364
0.934267,-0.000131178,0.00194363,0.71064
0.967633,-0.000118568,0.00195651,0.710763
1.001,-0.000126595,0.00196403,0.710529
1.03437,-0.000127731,0.00197062,0.710411
1.06773,-0.000127854,0.00196976,0.710204
1.1011,-0.000126372,0.00197263,0.710044
1.13447,-0.000126917,0.00198499,0.709433
1.16783,-0.00012426,0.00199398,0.709391
1.2012,-0.000126503,0.00199747,0.709197
1.23457,-0.000130749,0.00199837,0.709321
1.26793,-0.000128346,0.00200462,0.709051
1.3013,-0.000130459,0.00200361,0.708988
1.33467,-0.000129069,0.00200725,0.708806
1.36803,-0.000125593,0.00200586,0.708916
1.4014,-0.000126522,0.00199962,0.708669
1.43477,-0.000125415,0.00199997,0.708801
1.46813,-0.000124701,0.00200116,0.708449
1.5015,-0.000125451,0.00199982,0.708366
1.53487,-0.000127791,0.00200046,0.708056
1.56823,-0.000129978,0.00199858,0.708129
1.6016,-0.000129737,0.00199809,0.708113
1.63497,-0.000133188,0.00200025,0.708115
1.66833,-0.000125904,0.00199759,0.708096
1.7017,-0.000126306,0.0019926,0.707885
1.73507,-0.000129826,0.00199302,0.7076
1.76843,-0.00013577,0.00199199,0.707494
1.8018,-0.00013853,0.00198866,0.706773
1.83517,-0.000138216,0.0019886,0.706569
1.86853,-0.000138849,0.00198744,0.706446
1.9019,-0.000141508,0.00198996,0.7066
1.93527,-0.000134906,0.00197325,0.706331
1.96863,-0.000141143,0.00197437,0.706193
2.002,-0.000142038,0.00197514,0.706289
2.03537,-0.000142793,0.00197744,0.706431
2.06873,-0.00014618,0.00197938,0.706437
2.1021,-0.000144818,0.00198136,0.706047
2.13547,-0.000145776,0.00198193,0.706192
2.16883,-0.0001443,0.00198402,0.706137
2.2022,-0.000143802,0.00197579,0.706207
2.23557,-0.000144196,0.00197607,0.70609
2.26893,-0.000146262,0.0019725,0.706019
2.3023,-0.0001418,0.00197292,0.706059
2.33567,-0.000146343,0.00197169,0.70632
2.36903,-0.000147263,0.00197257,0.705748
2.4024,-0.000144417,0.00197255,0.70593
2.43577,-0.000145055,0.0019731,0.705429
2.46913,-0.000146158,0.00197784,0.705364
2.5025,-0.000149057,0.00197104,0.705015
2.53587,-0.00014985,0.00196689,0.704948
2.56923,-0.000150655,0.00197052,0.70455
2.6026,-0.00015093,0.00197783,0.704585
2.63597,-0.000152848,0.00197669,0.704427
2.66933,-0.000153488,0.0019796,0.704494
2.7027,-0.00015332,0.00198744,0.704314
2.73607,-0.000155313,0.00198832,0.704039
2.76943,-0.000152522,0.00199941,0.703454
2.8028,-0.000149364,0.00200427,0.703519
