# video = squat_140x4_2_20260730.mov
# tracker = plate
# commit = db0eaf5
# generated = 2026-08-07T12:28Z
# n_frames = 1607
# lift = squat
# camera_side = right
# fps = 30
# m_per_px = 0.003515625
# travel_m = 0.1268159553
# plate_radius_px = 64
# seed_frame = 1151
t,x,height,score
0,-0.0003748,0.00310894,0.307857
0.0333333,-0.000339711,0.00312304,0.311289
0.0666667,-0.000309048,0.00311711,0.31408
0.1,-0.000262843,0.00310963,0.316812
0.133333,-0.000210924,0.00309161,0.320118
0.166667,-0.000129805,0.00309244,0.32296
0.2,-4.73739e-05,0.00309594,0.326237
0.233333,2.92359e-05,0.00309165,0.3283
0.266667,8.27709e-05,0.0030912,0.330025
0.3,0.000115282,0.00310037,0.329623
0.333333,0.000121527,0.0031078,0.329695
0.366667,0.000125231,0.00312442,0.329995
0.4,0.000115965,0.00313404,0.329958
0.433333,0.000107544,0.00314494,0.330082
0.466667,9.92459e-05,0.00315468,0.330951
0.5,9.36764e-05,0.00315867,0.331779
0.533333,9.10167e-05,0.00315163,0.333079
0.566667,7.78527e-05,0.00314753,0.333124
0.6,6.56386e-05,0.00313786,0.333452
0.633333,5.56604e-05,0.00313646,0.33305
0.666667,5.02654e-05,0.00313639,0.3335
0.7,4.16894e-05,0.00314459,0.332839
0.733333,3.15014e-05,0.00315083,0.332917
0.766667,3.21461e-05,0.00315664,0.332848
0.8,3.27494e-05,0.00316032,0.332893
0.833333,3.28022e-05,0.00316904,0.332872
0.866667,2.67482e-05,0.00317655,0.33206
0.9,1.99418e-05,0.00317923,0.331394
0.933333,8.81603e-06,0.00318518,0.330639
0.966667,1.02856e-05,0.00318102,0.328771
1,9.46259e-06,0.00318515,0.327757
1.03333,1.65768e-05,0.00318557,0.326719
1.06667,4.03189e-05,0.00317555,0.326732
1.1,5.18923e-05,0.0031672,0.326429
1.13333,4.14339e-05,0.00315014,0.325943
1.16667,3.36413e-05,0.00312776,0.323322
1.2,8.44967e-05,0.00310849,0.323164
1.23333,7.98732e-05,0.00309665,0.323825
1.26667,6.39515e-05,0.00309769,0.325095
1.3,5.28001e-05,0.00310649,0.325815
1.33333,4.71339e-05,0.00312231,0.325667
1.36667,5.11863e-05,0.0031302,0.325363
1.4,5.94668e-05,0.00313626,0.325183
